# BUSCO version is: 3.0.1 
# The lineage dataset is: eukaryota_odb9 (Creation date: 2016-11-02, number of species: 100, number of BUSCOs: 303)
# To reproduce this run: python /home/osboxes/BUSCOVM/busco3/scripts/run_BUSCO.py -i Trinity.fasta -o LeptodorusBusco -l /home/osboxes/BUSCOVM/lineages/eukaryota_odb9/ -m transcriptome -c 1
#
# Busco id	Status	Sequence	Score	Length
EOG09370AL3	Complete	TRINITY_DN3435_c0_g1_i1	411.8	346
EOG09370ARO	Duplicated	TRINITY_DN112_c0_g2_i1	441.0	338
EOG09370ARO	Duplicated	TRINITY_DN112_c0_g2_i2	440.8	338
EOG09370ARO	Duplicated	TRINITY_DN112_c0_g2_i3	441.2	338
EOG09370AS9	Duplicated	TRINITY_DN9822_c0_g1_i1	324.7	303
EOG09370AS9	Duplicated	TRINITY_DN9822_c0_g1_i2	336.3	326
EOG09370AV1	Complete	TRINITY_DN12290_c0_g1_i1	454.2	356
EOG09370AWB	Complete	TRINITY_DN16741_c0_g1_i1	436.8	350
EOG09370B1L	Complete	TRINITY_DN933_c0_g1_i3	495.4	403
EOG09370B65	Duplicated	TRINITY_DN3905_c0_g2_i1	203.1	270
EOG09370B65	Duplicated	TRINITY_DN3905_c0_g2_i2	213.3	275
EOG09370B7D	Complete	TRINITY_DN1272_c0_g3_i1	285.1	221
EOG09370BBR	Duplicated	TRINITY_DN11844_c0_g2_i1	543.6	282
EOG09370BBR	Duplicated	TRINITY_DN70_c1_g1_i1	636.3	356
EOG09370BGO	Complete	TRINITY_DN2393_c0_g1_i3	305.5	314
EOG09370BJE	Complete	TRINITY_DN9778_c0_g2_i1	425.4	349
EOG09370BK5	Duplicated	TRINITY_DN1590_c0_g1_i1	377.9	388
EOG09370BK5	Duplicated	TRINITY_DN1590_c0_g1_i2	378.0	388
EOG09370BQO	Duplicated	TRINITY_DN1408_c0_g2_i2	256.8	258
EOG09370BQO	Duplicated	TRINITY_DN1408_c0_g2_i3	257.2	258
EOG09370BYX	Duplicated	TRINITY_DN3070_c1_g1_i1	429.7	318
EOG09370BYX	Duplicated	TRINITY_DN3070_c1_g1_i2	429.8	318
EOG09370BYX	Duplicated	TRINITY_DN3070_c1_g1_i3	430.1	318
EOG09370C5A	Complete	TRINITY_DN12677_c0_g1_i1	335.5	435
EOG09370CAN	Complete	TRINITY_DN19451_c0_g1_i1	423.1	344
EOG09370CAV	Duplicated	TRINITY_DN2279_c0_g1_i1	483.0	495
EOG09370CAV	Duplicated	TRINITY_DN2279_c0_g1_i2	482.9	495
EOG09370CF1	Duplicated	TRINITY_DN4704_c0_g1_i1	113.5	226
EOG09370CF1	Duplicated	TRINITY_DN4704_c0_g1_i2	100.2	202
EOG09370CIV	Duplicated	TRINITY_DN347_c3_g1_i1	295.9	242
EOG09370CIV	Duplicated	TRINITY_DN347_c3_g1_i2	279.0	204
EOG09370CIV	Duplicated	TRINITY_DN347_c3_g1_i3	291.0	243
EOG09370CK6	Complete	TRINITY_DN16604_c0_g1_i1	305.4	331
EOG09370CKL	Complete	TRINITY_DN301_c2_g1_i1	168.8	134
EOG09370CRF	Complete	TRINITY_DN6029_c0_g2_i1	555.2	370
EOG09370CTU	Complete	TRINITY_DN22833_c0_g1_i1	485.4	362
EOG09370CZ0	Duplicated	TRINITY_DN10305_c0_g1_i1	272.8	220
EOG09370CZ0	Duplicated	TRINITY_DN10305_c0_g1_i2	272.9	220
EOG09370CZT	Complete	TRINITY_DN6725_c0_g1_i2	223.7	270
EOG09370D13	Complete	TRINITY_DN10264_c0_g1_i1	549.5	444
EOG09370DO5	Complete	TRINITY_DN8530_c0_g1_i1	306.0	317
EOG09370DP4	Complete	TRINITY_DN9493_c0_g1_i1	284.3	293
EOG09370DS4	Complete	TRINITY_DN4974_c0_g1_i1	159.4	163
EOG09370DTG	Complete	TRINITY_DN19460_c0_g1_i1	353.6	426
EOG09370DV4	Complete	TRINITY_DN18618_c0_g1_i1	411.5	315
EOG09370DX4	Duplicated	TRINITY_DN2015_c0_g1_i1	241.8	204
EOG09370DX4	Duplicated	TRINITY_DN2015_c0_g1_i2	241.9	204
EOG09370DXT	Duplicated	TRINITY_DN3506_c0_g2_i1	201.6	234
EOG09370DXT	Duplicated	TRINITY_DN3506_c0_g2_i2	201.5	234
EOG09370DXT	Duplicated	TRINITY_DN3506_c0_g2_i3	200.0	273
EOG09370DYK	Complete	TRINITY_DN2061_c0_g2_i1	236.4	210
EOG09370E0Y	Complete	TRINITY_DN7263_c0_g1_i3	544.6	331
EOG09370E36	Complete	TRINITY_DN7693_c0_g1_i1	209.0	231
EOG09370E4U	Complete	TRINITY_DN6476_c0_g1_i1	346.2	238
EOG09370E4W	Complete	TRINITY_DN5088_c0_g1_i1	350.9	266
EOG09370E8S	Duplicated	TRINITY_DN1619_c0_g1_i1	359.7	353
EOG09370E8S	Duplicated	TRINITY_DN1619_c0_g1_i2	378.9	307
EOG09370EHZ	Complete	TRINITY_DN2453_c0_g2_i4	441.7	367
EOG09370EL3	Complete	TRINITY_DN11340_c0_g1_i1	297.9	288
EOG09370ER5	Complete	TRINITY_DN2717_c0_g1_i3	366.9	355
EOG09370F1Q	Complete	TRINITY_DN7298_c0_g1_i1	106.2	239
EOG09370F3T	Complete	TRINITY_DN3135_c0_g1_i1	195.8	207
EOG09370F47	Complete	TRINITY_DN2345_c0_g1_i1	459.2	270
EOG09370FKI	Duplicated	TRINITY_DN1688_c0_g1_i2	389.7	576
EOG09370FKI	Duplicated	TRINITY_DN1688_c0_g1_i4	389.4	620
EOG09370FLD	Complete	TRINITY_DN4879_c0_g1_i1	467.1	339
EOG09370FN1	Duplicated	TRINITY_DN14_c0_g1_i1	477.3	281
EOG09370FN1	Duplicated	TRINITY_DN14_c0_g1_i6	477.5	281
EOG09370FN1	Duplicated	TRINITY_DN9237_c0_g1_i1	462.5	281
EOG09370FSS	Complete	TRINITY_DN1041_c0_g1_i1	337.9	364
EOG09370FVX	Duplicated	TRINITY_DN2554_c0_g2_i1	369.9	297
EOG09370FVX	Duplicated	TRINITY_DN2554_c0_g2_i2	334.3	274
EOG09370FVX	Duplicated	TRINITY_DN2554_c0_g2_i4	317.5	268
EOG09370FWQ	Complete	TRINITY_DN15589_c0_g1_i1	506.8	312
EOG09370FXE	Complete	TRINITY_DN15446_c0_g1_i1	125.3	153
EOG09370GC2	Complete	TRINITY_DN8621_c0_g1_i1	174.8	172
EOG09370GEO	Complete	TRINITY_DN11210_c0_g1_i1	180.8	240
EOG09370GHM	Complete	TRINITY_DN4575_c0_g1_i12	200.9	206
EOG09370GHP	Complete	TRINITY_DN1902_c0_g1_i2	179.7	235
EOG09370GIK	Complete	TRINITY_DN4214_c0_g1_i1	365.1	226
EOG09370GJ7	Complete	TRINITY_DN17062_c0_g1_i1	405.5	347
EOG09370GK0	Complete	TRINITY_DN10196_c0_g1_i1	287.5	267
EOG09370H3E	Duplicated	TRINITY_DN3770_c0_g1_i1	379.2	262
EOG09370H3E	Duplicated	TRINITY_DN3770_c0_g1_i2	362.2	270
EOG09370H68	Complete	TRINITY_DN22635_c0_g1_i1	182.1	185
EOG09370HBN	Complete	TRINITY_DN4001_c0_g1_i1	367.3	372
EOG09370HD7	Complete	TRINITY_DN8489_c0_g1_i1	366.3	320
EOG09370HKV	Complete	TRINITY_DN2745_c0_g2_i1	523.4	463
EOG09370HVI	Complete	TRINITY_DN1735_c0_g1_i2	218.3	203
EOG09370I3J	Duplicated	TRINITY_DN9396_c0_g1_i1	234.0	217
EOG09370I3J	Duplicated	TRINITY_DN9396_c0_g1_i2	234.5	217
EOG09370I7R	Complete	TRINITY_DN19715_c0_g1_i1	413.2	254
EOG09370IF5	Duplicated	TRINITY_DN6472_c0_g1_i1	329.0	275
EOG09370IF5	Duplicated	TRINITY_DN6472_c0_g1_i2	328.8	275
EOG09370IH5	Complete	TRINITY_DN2633_c0_g1_i1	320.6	238
EOG09370IMU	Complete	TRINITY_DN4842_c0_g1_i1	189.4	194
EOG09370INZ	Complete	TRINITY_DN14366_c0_g1_i1	240.4	283
EOG09370IUA	Duplicated	TRINITY_DN1050_c0_g1_i4	374.1	220
EOG09370IUA	Duplicated	TRINITY_DN1050_c0_g1_i6	373.2	220
EOG09370IUA	Duplicated	TRINITY_DN1050_c0_g1_i7	373.9	220
EOG09370J9L	Complete	TRINITY_DN7464_c0_g1_i1	247.5	240
EOG09370JIK	Complete	TRINITY_DN14228_c0_g1_i1	296.4	215
EOG09370JW6	Duplicated	TRINITY_DN737_c0_g2_i1	68.7	116
EOG09370JW6	Duplicated	TRINITY_DN737_c0_g2_i2	68.7	116
EOG09370JZ3	Duplicated	TRINITY_DN1508_c0_g1_i1	201.8	195
EOG09370JZ3	Duplicated	TRINITY_DN1508_c0_g1_i2	202.0	195
EOG09370JZ3	Duplicated	TRINITY_DN1508_c0_g1_i4	201.9	195
EOG09370K15	Complete	TRINITY_DN15395_c0_g1_i1	187.2	155
EOG09370K1R	Duplicated	TRINITY_DN17987_c0_g1_i1	241.6	211
EOG09370K1R	Duplicated	TRINITY_DN17987_c0_g2_i1	241.6	211
EOG09370K1R	Duplicated	TRINITY_DN22527_c0_g1_i1	241.5	211
EOG09370KD4	Complete	TRINITY_DN21310_c0_g1_i1	397.0	250
EOG09370KGV	Complete	TRINITY_DN22549_c0_g1_i1	117.8	90
EOG09370KJ3	Complete	TRINITY_DN19629_c0_g1_i1	247.0	191
EOG09370KM9	Complete	TRINITY_DN4304_c0_g1_i1	208.2	324
EOG09370KOV	Complete	TRINITY_DN1761_c0_g1_i1	170.8	193
EOG09370KWF	Complete	TRINITY_DN11650_c0_g1_i1	133.5	196
EOG09370KYZ	Complete	TRINITY_DN10494_c0_g1_i1	313.1	198
EOG09370L23	Duplicated	TRINITY_DN3423_c0_g1_i1	310.8	219
EOG09370L23	Duplicated	TRINITY_DN3423_c0_g1_i2	304.3	219
EOG09370L77	Duplicated	TRINITY_DN3113_c0_g1_i3	257.1	306
EOG09370L77	Duplicated	TRINITY_DN3113_c0_g1_i4	257.1	306
EOG09370L77	Duplicated	TRINITY_DN3113_c0_g1_i7	271.0	361
EOG09370LFI	Complete	TRINITY_DN10384_c0_g1_i1	399.2	239
EOG09370LGH	Complete	TRINITY_DN4971_c0_g1_i1	337.9	296
EOG09370LMP	Complete	TRINITY_DN4520_c0_g1_i1	368.2	304
EOG09370LQ2	Complete	TRINITY_DN16742_c0_g1_i1	155.5	220
EOG09370LYY	Complete	TRINITY_DN1523_c0_g1_i1	323.4	369
EOG09370M9E	Complete	TRINITY_DN15904_c0_g1_i1	319.9	204
EOG09370MAO	Complete	TRINITY_DN2614_c0_g2_i1	317.4	230
EOG09370MDU	Complete	TRINITY_DN7323_c0_g1_i1	241.2	179
EOG09370MGF	Duplicated	TRINITY_DN380_c0_g1_i10	213.7	194
EOG09370MGF	Duplicated	TRINITY_DN380_c0_g1_i4	213.6	194
EOG09370MGF	Duplicated	TRINITY_DN380_c0_g1_i8	212.7	194
EOG09370MHI	Duplicated	TRINITY_DN1977_c0_g1_i1	286.4	264
EOG09370MHI	Duplicated	TRINITY_DN1977_c0_g1_i2	286.4	264
EOG09370MMK	Duplicated	TRINITY_DN755_c0_g1_i3	378.7	237
EOG09370MMK	Duplicated	TRINITY_DN755_c0_g1_i4	379.2	237
EOG09370MQ0	Complete	TRINITY_DN9557_c0_g1_i1	288.3	214
EOG09370MZ4	Duplicated	TRINITY_DN5698_c0_g1_i1	387.2	226
EOG09370MZ4	Duplicated	TRINITY_DN5698_c0_g1_i2	387.1	226
EOG09370MZ4	Duplicated	TRINITY_DN5698_c0_g1_i4	387.2	226
EOG09370N7W	Complete	TRINITY_DN9720_c0_g1_i1	428.4	289
EOG09370NBT	Complete	TRINITY_DN21819_c0_g1_i1	272.1	241
EOG09370NBW	Duplicated	TRINITY_DN463_c0_g1_i1	175.8	184
EOG09370NBW	Duplicated	TRINITY_DN463_c0_g1_i2	174.3	185
EOG09370NHX	Complete	TRINITY_DN2815_c0_g4_i1	166.6	168
EOG09370NIG	Complete	TRINITY_DN14940_c0_g1_i1	171.8	167
EOG09370O06	Complete	TRINITY_DN20972_c0_g1_i1	221.4	202
EOG09370O51	Complete	TRINITY_DN1488_c0_g1_i1	268.0	212
EOG09370OFR	Complete	TRINITY_DN13152_c0_g1_i1	334.6	280
EOG09370OGU	Complete	TRINITY_DN15803_c0_g1_i1	152.6	220
EOG09370OGW	Complete	TRINITY_DN19669_c0_g1_i1	142.1	175
EOG09370OHP	Duplicated	TRINITY_DN11855_c0_g1_i1	266.0	198
EOG09370OHP	Duplicated	TRINITY_DN11855_c0_g1_i2	265.6	198
EOG09370OLY	Complete	TRINITY_DN15993_c0_g1_i1	198.1	150
EOG09370OO3	Complete	TRINITY_DN565_c0_g2_i1	262.7	196
EOG09370OS5	Complete	TRINITY_DN16589_c0_g1_i1	156.8	144
EOG09370OUS	Complete	TRINITY_DN8413_c0_g1_i1	431.2	382
EOG09370P2W	Complete	TRINITY_DN968_c0_g1_i1	89.8	91
EOG09370P5Q	Complete	TRINITY_DN8855_c0_g1_i1	235.1	276
EOG09370P7I	Complete	TRINITY_DN5940_c0_g1_i1	126.7	159
EOG09370P9T	Complete	TRINITY_DN836_c0_g1_i3	452.0	338
EOG09370PBD	Duplicated	TRINITY_DN2593_c0_g2_i1	378.2	221
EOG09370PBD	Duplicated	TRINITY_DN2593_c0_g2_i2	377.2	221
EOG09370PBD	Duplicated	TRINITY_DN2593_c1_g1_i1	380.1	221
EOG09370PLC	Complete	TRINITY_DN3056_c0_g3_i1	301.4	227
EOG09370PN3	Complete	TRINITY_DN6690_c0_g1_i1	137.3	162
EOG09370PYJ	Complete	TRINITY_DN4144_c0_g1_i1	325.0	220
EOG09370QBK	Complete	TRINITY_DN22781_c0_g1_i1	150.4	155
EOG09370QBR	Complete	TRINITY_DN21234_c0_g1_i1	307.5	240
EOG09370QCX	Complete	TRINITY_DN5558_c0_g1_i1	182.4	171
EOG09370QFD	Duplicated	TRINITY_DN2596_c0_g1_i1	131.0	154
EOG09370QFD	Duplicated	TRINITY_DN2596_c0_g1_i3	131.2	154
EOG09370QI4	Fragmented	TRINITY_DN2355_c0_g1_i1	98.4	83
EOG09370QJ1	Complete	TRINITY_DN8153_c0_g1_i1	289.1	183
EOG09370QKS	Complete	TRINITY_DN8087_c0_g1_i1	229.3	151
EOG09370QMM	Complete	TRINITY_DN775_c0_g1_i2	211.7	248
EOG09370QT3	Complete	TRINITY_DN779_c0_g3_i1	100.4	114
EOG09370QVI	Duplicated	TRINITY_DN3126_c0_g1_i1	289.7	226
EOG09370QVI	Duplicated	TRINITY_DN3126_c0_g1_i3	289.4	226
EOG09370R3M	Complete	TRINITY_DN3450_c0_g1_i1	300.5	183
EOG09370R67	Complete	TRINITY_DN3481_c0_g2_i3	127.3	80
EOG09370RCD	Complete	TRINITY_DN12491_c0_g1_i2	360.7	375
EOG09370RCQ	Duplicated	TRINITY_DN2169_c0_g1_i2	299.9	193
EOG09370RCQ	Duplicated	TRINITY_DN2169_c0_g1_i3	276.8	193
EOG09370RCS	Duplicated	TRINITY_DN687_c0_g1_i1	203.1	177
EOG09370RCS	Duplicated	TRINITY_DN687_c0_g1_i3	203.1	177
EOG09370RIT	Complete	TRINITY_DN22727_c0_g1_i1	284.4	137
EOG09370RJN	Complete	TRINITY_DN18499_c0_g1_i1	374.4	273
EOG09370RRJ	Complete	TRINITY_DN22817_c0_g1_i1	280.4	159
EOG09370S0F	Complete	TRINITY_DN5974_c0_g1_i2	146.4	126
EOG09370S1Z	Complete	TRINITY_DN149_c0_g1_i1	139.1	103
EOG09370S3E	Complete	TRINITY_DN23153_c0_g1_i1	174.0	166
EOG09370S4T	Complete	TRINITY_DN20311_c0_g1_i1	191.2	130
EOG09370SC9	Complete	TRINITY_DN2157_c0_g1_i2	152.8	144
EOG09370SO4	Complete	TRINITY_DN11033_c0_g1_i1	62.0	130
EOG09370SON	Complete	TRINITY_DN17039_c0_g1_i1	243.5	189
EOG09370SPQ	Duplicated	TRINITY_DN772_c0_g1_i1	158.1	149
EOG09370SPQ	Duplicated	TRINITY_DN772_c0_g1_i10	148.9	171
EOG09370SPQ	Duplicated	TRINITY_DN772_c0_g1_i9	153.7	150
EOG09370SV2	Duplicated	TRINITY_DN1042_c0_g1_i2	171.3	136
EOG09370SV2	Duplicated	TRINITY_DN1042_c0_g1_i3	171.4	136
EOG09370SYK	Complete	TRINITY_DN10362_c0_g1_i1	638.8	521
EOG09370T6W	Complete	TRINITY_DN6697_c0_g2_i1	199.7	172
EOG09370T9R	Complete	TRINITY_DN7209_c0_g1_i1	233.7	157
EOG09370TBD	Complete	TRINITY_DN20945_c0_g1_i1	261.6	140
EOG09370TBG	Duplicated	TRINITY_DN2442_c0_g2_i2	156.0	152
EOG09370TBG	Duplicated	TRINITY_DN2442_c0_g2_i4	155.7	152
EOG09370TCX	Duplicated	TRINITY_DN3745_c0_g1_i1	289.0	200
EOG09370TCX	Duplicated	TRINITY_DN3745_c0_g1_i2	247.5	180
EOG09370TFO	Complete	TRINITY_DN8323_c0_g1_i1	261.4	296
EOG09370TG2	Complete	TRINITY_DN21429_c0_g1_i1	194.9	149
EOG09370TG6	Duplicated	TRINITY_DN907_c0_g1_i12	181.7	151
EOG09370TG6	Duplicated	TRINITY_DN907_c0_g1_i2	182.0	151
EOG09370TH4	Complete	TRINITY_DN10378_c0_g1_i1	149.7	130
EOG09370TP2	Complete	TRINITY_DN3167_c0_g1_i1	244.2	222
EOG09370TS7	Complete	TRINITY_DN7836_c0_g1_i1	191.0	162
EOG09370TTI	Complete	TRINITY_DN22800_c0_g1_i1	125.9	86
EOG09370U0A	Complete	TRINITY_DN5483_c0_g1_i1	255.0	210
EOG09370U71	Complete	TRINITY_DN8976_c0_g1_i1	227.1	215
EOG09370U9P	Duplicated	TRINITY_DN2504_c0_g1_i1	205.2	175
EOG09370U9P	Duplicated	TRINITY_DN2504_c0_g1_i2	205.8	175
EOG09370UEC	Duplicated	TRINITY_DN1769_c0_g1_i1	223.4	171
EOG09370UEC	Duplicated	TRINITY_DN1769_c0_g1_i2	194.1	116
EOG09370UEC	Duplicated	TRINITY_DN1769_c0_g1_i3	226.1	151
EOG09370UG9	Duplicated	TRINITY_DN14457_c0_g1_i1	179.0	135
EOG09370UG9	Duplicated	TRINITY_DN21765_c0_g1_i1	210.1	176
EOG09370UID	Duplicated	TRINITY_DN3918_c0_g1_i3	224.0	115
EOG09370UID	Duplicated	TRINITY_DN3918_c0_g1_i4	237.1	132
EOG09370UO4	Complete	TRINITY_DN9604_c0_g1_i1	245.5	165
EOG09370UR1	Duplicated	TRINITY_DN760_c0_g3_i1	144.3	139
EOG09370UR1	Duplicated	TRINITY_DN760_c0_g3_i2	131.3	138
EOG09370UR3	Complete	TRINITY_DN21151_c0_g1_i1	259.0	159
EOG09370USH	Complete	TRINITY_DN4381_c0_g1_i1	168.6	146
EOG09370USJ	Duplicated	TRINITY_DN10741_c0_g1_i1	287.0	184
EOG09370USJ	Duplicated	TRINITY_DN10741_c0_g1_i2	286.8	184
EOG09370UV4	Complete	TRINITY_DN867_c0_g2_i1	230.5	150
EOG09370V9R	Complete	TRINITY_DN15041_c0_g1_i1	83.5	116
EOG09370VFL	Complete	TRINITY_DN18795_c0_g1_i1	252.1	245
EOG09370VLM	Duplicated	TRINITY_DN12899_c0_g1_i1	122.5	109
EOG09370VLM	Duplicated	TRINITY_DN18478_c0_g1_i1	127.8	113
EOG09370VLM	Duplicated	TRINITY_DN947_c0_g1_i1	133.7	113
EOG09370VTP	Complete	TRINITY_DN6112_c0_g1_i1	300.2	354
EOG09370VUX	Complete	TRINITY_DN19549_c0_g1_i1	124.2	145
EOG09370W44	Complete	TRINITY_DN3664_c0_g1_i1	185.5	141
EOG09370W6N	Complete	TRINITY_DN21162_c0_g1_i1	176.9	142
EOG09370W86	Duplicated	TRINITY_DN1596_c0_g1_i1	224.0	175
EOG09370W86	Duplicated	TRINITY_DN1596_c0_g1_i3	224.0	175
